DFF 1.1,Flow Table,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Gate,,,Command,,,,Bin Number,,Sort Number,,,Flag,,,Group,,,,Device,,,Debug,,,
,Label,Enable,Job,Part,Env,Opcode,Parameter,TName,TNum,Pass,Fail,Pass,Fail,Result,Pass,Fail,State,Specifier,Sense,Condition,Name,Sense,Condition,Name,Assume,Sites,Comment,
,ILLEGAL_JOB,,,,,nop,ILLEGAL_JOB,,,,,,,,,,,,,,,,,,,,,
,,,,,,nop,,,,,,,,,,,,,,,,,,,,,,
,,,,,,nop,,,,,,,,,,,,,,,,,,,,,,
,,,,,,nop,,,,,,,,,,,,,,,,,,,,,,
,,EngLoopWait,,,,Test,Wait3Sec,LoopWait,999900,,4,,9999,Fail,,,,,,,,,,,,,For DUT cooling during program looping,
,,,f1-prd-std-rn2483,,,goto,FT_Test,,,,,,,,,,,,,,,,,,,,,
,,,q1-prd-std-rn2483,,,goto,QC_Test,,,,,,,,,,,,,,,,,,,,,
,,,,,,nop,,,,,,,,,,,,,,,,,,,,,,
,FT_Test,,,,!125c,print,"======== RF Module Test ========",,,,,,,,,,,,,,,,,,,,,
,,,,,,nop,,,,,,,,,,,,,,,,,,,,,RN2483,
,,,,RN2483,,Test,POWER_RESET_LEDS,,100001,,,,,,,,,,,,,,,,,,Reset Pass/Fail LEDs,
,,,,,!125c,Test,c_cont_vss_ppmu_RF,,101001,,5,,1010,Fail,,LED_Fail,,,,,,,,,,,RN2483,
,,,,,!125c,Test,c_cont_vdd_ppmu_RF,,101100,,5,,1011,Fail,,LED_Fail,,,,,,,,,,,RN2483,
,,,,,!125c,Test,EU_I_IDLE_VBT,,150000,,3,,1500,Fail,,,,,,,,,,,,,RN2483,
,,,,,!125c,Test,EU_MODULE_ID_MFS,,200000,,4,,2000,Fail,,,,,,,,,,,,,RN2483,
,,,,,!125c,Test,MODULE_GPIO_CHECK,,250000,,4,,2500,Fail,,,,,,,,,,,,,RN2483,
,,,,,!125c,Test,EU_TX_CW_868,,300000,,4,,3000,Fail,,,,,,,,,,,,,RN2483,
,,,,,!125C,Test,EU_I_SLEEP,,500000,,3,,5000,Fail,,,,,,,,,,,,,RN2483,
,,,,,!125c,Test,EU_RX_PKT_RCV_868_M,,400000,,4,,4000,Fail,,,,,,,,,,,,,RN2483,
,,,,,,Test,PASS_FAIL_LEDS,,900009,,,,,,,,,,,,,,,,,,Set Pass/Fail LEDs,
,,,,,,goto,BINIT,,,,,,,,,,,,,,,,,,,,,
,,,,,,nop,,,,,,,,,,,,,,,,,,,,,,
,,,,,,nop,,,,,,,,,,,,,,,,,,,,,,
,,,,,,nop,,,,,,,,,,,,,,,,,,,,,,
,QC_Test,,,,!125c,print,"=========QC Test==========",,,,,,,,,,,,,,,,,,,,,
,,,,,,nop,,,,,,,,,,,,,,,,,,,,,RN2483,
,,,,,,Test,POWER_RESET_LEDS,,100001,,,,,,,,,,,,,,,,,,Reset Pass/Fail LEDs,
,,,,,!125c,Test,c_cont_vss_ppmu_RF_qc,,101001,,5,,1010,Fail,,LED_Fail,,,,,,,,,,,RN2483,
,,,,,!125c,Test,c_cont_vdd_ppmu_RF_qc,,101100,,5,,1011,Fail,,LED_Fail,,,,,,,,,,,RN2483,
,,,,,!125c,Test,EU_I_IDLE_VBT_qc,,150000,,3,,1500,Fail,,,,,,,,,,,,,RN2483,
,,,,,!125c,Test,EU_MODULE_ID_MFS_qc,,200000,,4,,2000,Fail,,,,,,,,,,,,,RN2483,
,,,,,!125c,Test,MODULE_GPIO_CHECK_qc,,250000,,4,,2500,Fail,,,,,,,,,,,,,RN2483,
,,,,,!125c,Test,EU_TX_CW_868_qc,,300000,,4,,3000,Fail,,,,,,,,,,,,,RN2483,
,,,,,!125C,Test,EU_I_SLEEP_qc,,500000,,3,,5000,Fail,,,,,,,,,,,,,RN2483,
,,,,,!125c,Test,EU_RX_PKT_RCV_868_M_qc,,400000,,4,,4000,Fail,,,,,,,,,,,,,RN2483,
,,,,,,Test,PASS_FAIL_LEDS,,900009,,,,,,,,,,,,,,,,,,Set Pass/Fail LEDs,
,,,,,,nop,,,,,,,,,,,,,,,,,,,,,,
,BINIT,,,,,set-device,,,,2,,2,,,,,,,,,,,,,,,,
,EOT,,,,,stop,,,,,,,,,,,,,,,,,,,,,,
