DFF 1.0,Pin Map,,,,
,,,,,
,Group Name,Pin Name,Type,Comment,
,,VBAT,Power,14-A7288 LoRa 868MHz EU Module - 2 Vdd Pins (34,12),
,,VSW_3V3,Power,FET Switch Supply,
,,GND,Gnd,Module Ground Pins (1,8,11,20,21,22,24,26,27,28,33,41,47),
,,MCLR_nRESET,Input,Module Pin 32,
,,GPIO0,I/O,Module Pin 35,
,,GPIO1,I/O,Module Pin 36,
,,GPIO2,I/O,Module Pin 37,
,,GPIO3,I/O,Module Pin 38,
,,GPIO4,I/O,Module Pin 39,
,,GPIO5,I/O,Module Pin 40,
,,GPIO6,I/O,Module Pin 43,
,,GPIO7,I/O,Module Pin 44,
,,GPIO8,I/O,Module Pin 45,
,,GPIO9,I/O,Module Pin 46,
,,GPIO10,I/O,Module Pin 14,
,,GPIO11,I/O,Module Pin 13,
,,GPIO12,I/O,Module Pin 10,
,,GPIO13,I/O,Module Pin 9,
,,PGC,I/O,Module Pin 30,
,,PGD,I/O,Module Pin 31,
,,UART_TX,Output,Module Pin 6,
,,UART_RX,Input,Module Pin 7,
,,SDA,I/O,Module Pin 5 ,
,,SCL,Output,Module Pin 4,
,,UART_RTS,Output,Module Pin 2,
,,UART_CTS,Input,Module Pin 3,
,,DIO0_TP1,I/O,Module Interior TP,
,,DIO1_TP2,I/O,Module Interior TP,
,,DIO2_TP3,I/O,Module Interior TP,
,,DIO3_TP4,I/O,Module Interior TP,
,,DIO4_TP5,I/O,Module Interior TP,
,,DIO5_TP6,I/O,Module Interior TP,
,,NRESET_TP7,I/O,Module Interior TP,
,,SCK_TP8,I/O,Module Interior TP,
,,NSS_TP9,I/O,Module Interior TP,
,,MOSI_TP10,I/O,Module Interior TP,
,,MISO_TP11,I/O,Module Interior TP,
,,SPI_EN_A,Input,FET Switch TP Enable,
,,SPI_EN_B,Input,FET Switch TP Enable,
,,RED1_ON,Input,Red Fail Module LED Module 1,
,,GRN1_ON,Input,Green Pass Module LED Module 1,
,,RED2_ON,Input,Red Fail Module LED Module 2,
,,GRN2_ON,Input,Green Pass Module LED Module 2,
,,RED3_ON,Input,Red Fail Module LED Module 3,
,,GRN3_ON,Input,Green Pass Module LED Module 3,
,,RED4_ON,Input,Red Fail Module LED Module 4,
,,GRN4_ON,Input,Green Pass Module LED Module 4,
,,LEDS_OFF,Input,All Pass/Fail LEDs Off (Reset U11),
,,MW_DIG_TRIG,Input,AXRF DIG TRIGGER,
,,MW_SRC_TRIG,Input,AXRF SOURCE TRIGGER,
,,RFLOUT,Analog,RF High Band output Module Pin 25,
,,RFHOUT,Analog,RF Low Band output Module Pin 23,
,GPIO_PINS,GPIO0,I/O,,
,GPIO_PINS,GPIO1,,,
,GPIO_PINS,GPIO2,,,
,GPIO_PINS,GPIO3,,,
,GPIO_PINS,GPIO4,,,
,GPIO_PINS,GPIO5,,,
,GPIO_PINS,GPIO6,,,
,GPIO_PINS,GPIO7,,,
,GPIO_PINS,GPIO8,,,
,GPIO_PINS,GPIO9,,,
,GPIO_PINS,GPIO10,,,
,GPIO_PINS,GPIO11,,,
,GPIO_PINS,GPIO12,,,
,GPIO_PINS,GPIO13,,,
,UART_INPUTS,UART_RX,Input,,
,UART_INPUTS,UART_CTS,,,
,UART_OUTPUTS,UART_TX,Output,,
,UART_OUTPUTS,UART_RTS,,,
,INTERIOR_TP_PINS,DIO0_TP1,I/O,,
,INTERIOR_TP_PINS,DIO1_TP2,,,
,INTERIOR_TP_PINS,DIO2_TP3,,,
,INTERIOR_TP_PINS,DIO3_TP4,,,
,INTERIOR_TP_PINS,DIO4_TP5,,,
,INTERIOR_TP_PINS,DIO5_TP6,,,
,INTERIOR_TP_PINS,NRESET_TP7,,,
,INTERIOR_TP_PINS,SCK_TP8,,,
,INTERIOR_TP_PINS,NSS_TP9,,,
,INTERIOR_TP_PINS,MOSI_TP10,,,
,INTERIOR_TP_PINS,MISO_TP11,,,
,LED_PINS,RED1_ON,Input,,
,LED_PINS,GRN1_ON,,,
,LED_PINS,RED2_ON,,,
,LED_PINS,GRN2_ON,,,
,LED_PINS,RED3_ON,,,
,LED_PINS,GRN3_ON,,,
,LED_PINS,RED4_ON,,,
,LED_PINS,GRN4_ON,,,
,LED_PINS,LEDS_OFF,,,
,MW_TRIG_PINS,MW_DIG_TRIG,Input,,
,MW_TRIG_PINS,MW_SRC_TRIG,,,
,SPI_EN,SPI_EN_A,Input,,
,SPI_EN,SPI_EN_B,,,
,MISC_PIC_CONT_HI,PGC,I/O,,
,MISC_PIC_CONT_HI,PGD,,,
,MISC_PIC_CONT_HI,SDA,,,
,MISC_PIC_CONT_LO,PGC,I/O,,
,MISC_PIC_CONT_LO,PGD,,,
,MISC_PIC_CONT_LO,SDA,,,
,MISC_PIC_LEAK_HI,PGC,I/O,,
,MISC_PIC_LEAK_HI,PGD,,,
,MISC_PIC_LEAK_LO,PGC,I/O,,
,MISC_PIC_LEAK_LO,PGD,,,
,MISC_PIC_INPUTS,MCLR_nRESET,Input,,
,MISC_PIC_OUTPUTS,SCL,Output,,
,MISC_PIC_IOS,PGC,I/O,,
,MISC_PIC_IOS,PGD,,,
,MISC_PIC_IOS,SDA,,,
,CONT_PIC_INPUTS,UART_RX,Input,,
,CONT_PIC_INPUTS,UART_CTS,,,
,LEAK_LO_OUTPUTS,UART_TX,Output,,
,LEAK_LO_OUTPUTS,UART_RTS,,,
,LEAK_LO_INPUTS,UART_RX,Input,,
,LEAK_LO_INPUTS,UART_CTS,,,
,LEAK_HI_INPUTS,UART_RX,Input,,
,LEAK_HI_INPUTS,UART_CTS,,,
,LEAK_HI_INPUTS,MCLR_nRESET,,,
,LEAK_HI_OUTPUTS,UART_TX,Output,,
,LEAK_HI_OUTPUTS,UART_RTS,,,
,LEAK_HI_IOS,PGC,I/O,TEST0 in RN2483 FW Driver,
,LEAK_HI_IOS,PGD,,TEST1 in RN2483 FW Driver,
,MODULE_IO,PGD,I/O,Used for uart_rn2483_io_check in hex format,
,MODULE_IO,PGC,,,
,MODULE_IO,GPIO13,,,
,MODULE_IO,GPIO12,,,
,MODULE_IO,GPIO11,,,
,MODULE_IO,GPIO10,,,
,MODULE_IO,GPIO9,,,
,MODULE_IO,GPIO8,,,
,MODULE_IO,GPIO7,,,
,MODULE_IO,GPIO6,,,
,MODULE_IO,GPIO5,,,
,MODULE_IO,GPIO4,,,
,MODULE_IO,GPIO3,,,
,MODULE_IO,GPIO2,,,
,MODULE_IO,GPIO1,,,
,MODULE_IO,GPIO0,,,
